sample_id,source_video_id,window_id,noise_level,mean_bubble_count,max_bubble_count,std_bubble_count,continuity_ratio,mean_vertical_chain,temporal_variance,prev3_mean_bubble_count,prev3_std_bubble_count,prev3_continuity_ratio,prev3_mean_vertical_chain,leak_evolution,label
L_G12_PSI05_V001_W0000,L_G12_PSI05_V001,0,20,0.4,2.0,0.69916,0.2,1.2,0.488824,0.0,0.0,0.0,0.0,0.4,0
L_G12_PSI05_V001_W0001,L_G12_PSI05_V001,1,20,0.2,2.0,0.632456,0.1,1.1,0.4,0.4,0.69916,0.2,1.2,-0.2,0
L_G12_PSI05_V001_W0002,L_G12_PSI05_V001,2,20,0.2,2.0,0.632456,0.1,1.1,0.4,0.3,0.665808,0.15,1.15,-0.1,0
L_G12_PSI05_V001_W0003,L_G12_PSI05_V001,3,20,0.4,2.0,0.843274,0.2,1.2,0.711111,0.266667,0.65469,0.133333,1.133333,0.133333,0
L_G12_PSI05_V001_W0004,L_G12_PSI05_V001,4,20,0.1,2.0,0.522786,0.1,1.0,0.273305,0.266667,0.702728,0.133333,1.133333,-0.166667,0
L_G12_PSI05_V001_W0005,L_G12_PSI05_V001,5,20,0.0,0.0,0.421932,0.5,1.2,0.178026,0.233333,0.666172,0.133333,1.1,-0.233333,1
L_G12_PSI05_V001_W0006,L_G12_PSI05_V001,6,20,7.7,12.0,2.874709,1.0,4.7,8.263953,0.166667,0.595997,0.266667,1.133333,7.533333,1
L_G12_PSI05_V001_W0007,L_G12_PSI05_V001,7,20,13.7,21.0,3.06695,1.0,5.0,9.406183,2.6,1.273142,0.533333,2.3,11.1,1
L_G12_PSI05_V001_W0008,L_G12_PSI05_V001,8,20,20.7,24.0,2.191413,1.0,3.6,4.802289,7.133333,2.121197,0.833333,3.633333,13.566667,1
L_G12_PSI05_V001_W0009,L_G12_PSI05_V001,9,20,13.0,16.0,1.95622,1.0,4.4,3.826796,14.033333,2.711024,1.0,4.433333,-1.033333,1
L_G12_PSI05_V001_W0010,L_G12_PSI05_V001,10,20,13.4,16.0,2.256553,1.0,5.9,5.092034,15.8,2.404861,1.0,4.333333,-2.4,1
L_G12_PSI05_V001_W0011,L_G12_PSI05_V001,11,20,5.0,10.0,3.658128,1.0,3.7,13.381898,15.7,2.134729,1.0,4.633333,-10.7,1
L_G12_PSI05_V001_W0012,L_G12_PSI05_V001,12,20,7.3,20.0,5.91919,0.7,3.3,35.036812,10.466667,2.623634,1.0,4.666667,-3.166667,1
L_G12_PSI05_V001_W0013,L_G12_PSI05_V001,13,20,4.8,9.0,2.963954,0.9,3.1,8.785023,8.566667,3.944624,0.9,4.3,-3.766667,1
L_G12_PSI05_V001_W0014,L_G12_PSI05_V001,14,20,6.8,20.0,5.320615,1.0,2.9,28.308945,5.7,4.180424,0.866667,3.366667,1.1,1
L_G12_PSI05_V001_W0015,L_G12_PSI05_V001,15,20,1.5,3.0,0.110502,0.2,1.0,0.012211,6.3,4.734586,0.866667,3.1,-4.8,1
L_G12_PSI05_V001_W0016,L_G12_PSI05_V001,16,20,11.4,15.0,5.685673,1.0,4.7,32.326875,4.366667,2.798357,0.7,2.333333,7.033333,1
L_G12_PSI05_V001_W0017,L_G12_PSI05_V001,17,20,5.9,13.0,4.457096,1.0,4.3,19.865702,6.566667,3.705597,0.733333,2.866667,-0.666667,1
L_G12_PSI05_V001_W0018,L_G12_PSI05_V001,18,20,5.3,9.0,2.714379,1.0,4.4,7.367855,6.266667,3.417757,0.733333,3.333333,-0.966667,1
L_G12_PSI05_V001_W0019,L_G12_PSI05_V001,19,20,7.3,13.0,3.92794,1.0,4.5,15.42871,7.533333,4.285716,1.0,4.466667,-0.233333,1
L_G12_PSI05_V001_W0020,L_G12_PSI05_V001,20,20,9.8,13.0,2.955584,1.0,6.1,8.735476,6.166667,3.699805,1.0,4.4,3.633333,1
L_G12_PSI05_V001_W0021,L_G12_PSI05_V001,21,20,12.0,17.0,4.392742,1.0,3.7,19.296186,7.466667,3.199301,1.0,5.0,4.533333,1
L_G12_PSI05_V001_W0022,L_G12_PSI05_V001,22,20,9.8,18.0,3.892833,1.0,3.7,15.154146,9.7,3.758755,1.0,4.766667,0.1,1
L_G12_PSI05_V001_W0023,L_G12_PSI05_V001,23,20,8.2,16.0,4.387821,1.0,5.3,19.25297,10.533333,3.747053,1.0,4.5,-2.333333,1
L_G12_PSI05_V001_W0024,L_G12_PSI05_V001,24,20,14.0,23.0,5.69718,1.0,4.5,32.457865,10.0,4.224465,1.0,4.233333,4.0,1
L_G12_PSI05_V001_W0025,L_G12_PSI05_V001,25,20,8.7,18.0,4.79797,1.0,3.9,23.020512,10.666667,4.659278,1.0,4.5,-1.966667,1
L_G12_PSI05_V001_W0026,L_G12_PSI05_V001,26,20,4.6,10.0,2.90928,1.0,3.4,8.463913,10.3,4.96099,1.0,4.566667,-5.7,1
L_G12_PSI05_V001_W0027,L_G12_PSI05_V001,27,20,6.6,13.0,2.678969,1.0,4.3,7.176876,9.1,4.468144,1.0,3.933333,-2.5,1
L_G12_PSI05_V001_W0028,L_G12_PSI05_V001,28,20,6.1,17.0,5.022296,1.0,2.7,25.223458,6.633333,3.462073,1.0,3.866667,-0.533333,1
L_G12_PSI05_V001_W0029,L_G12_PSI05_V001,29,20,12.4,19.0,5.034743,1.0,5.4,25.348635,5.766667,3.536849,1.0,3.466667,6.633333,1
L_G12_PSI05_V001_W0030,L_G12_PSI05_V001,30,20,9.0,19.0,4.645268,1.0,3.9,21.578519,8.366667,4.245336,1.0,4.133333,0.633333,1
L_G12_PSI05_V001_W0031,L_G12_PSI05_V001,31,20,1.2,1.2,1.815303,0.9,2.1,3.295323,9.166667,4.900769,1.0,4.0,-7.966667,1
L_G12_PSI05_V001_W0032,L_G12_PSI05_V001,32,20,13.3,16.0,2.924591,1.0,3.7,8.55323,7.533333,3.831771,0.966667,3.8,5.766667,1
L_G12_PSI05_V001_W0033,L_G12_PSI05_V001,33,20,4.8,11.0,2.792418,0.9,3.3,7.797596,7.833333,3.128387,0.966667,3.233333,-3.033333,1
L_G12_PSI05_V001_W0034,L_G12_PSI05_V001,34,20,4.5,18.0,5.331946,1.0,2.5,28.429644,6.433333,2.51077,0.933333,3.033333,-1.933333,1
L_G12_PSI05_V001_W0035,L_G12_PSI05_V001,35,20,4.6,10.0,3.176687,1.0,2.7,10.091343,7.533333,3.682985,0.966667,3.166667,-2.933333,1
L_G12_PSI05_V001_W0036,L_G12_PSI05_V001,36,20,4.5,9.0,2.276615,1.0,2.5,5.182974,4.633333,3.767017,0.966667,2.833333,-0.133333,1
L_G12_PSI05_V001_W0037,L_G12_PSI05_V001,37,20,0.0,0.0,0.0,0.0,0.0,0.0,4.533333,3.595083,1.0,2.566667,-4.533333,0
L_G12_PSI05_V001_W0038,L_G12_PSI05_V001,38,20,0.0,0.0,0.0,0.0,0.0,0.0,3.033333,1.817767,0.666667,2.066667,-3.033333,0
L_G12_PSI05_V001_W0039,L_G12_PSI05_V001,39,20,1.2,3.0,1.335563,0.5,1.8,1.783728,1.5,0.758872,0.333333,1.5,-0.3,0
L_G14_PSI05_V001_W0000,L_G14_PSI05_V001,0,20,0.5,3.0,1.080123,0.2,1.2,1.166666,0.0,0.0,0.0,0.0,0.5,0
L_G14_PSI05_V001_W0001,L_G14_PSI05_V001,1,20,1.1,3.0,1.247503,0.5,1.5,1.556263,0.5,1.080123,0.2,1.2,0.6,0
L_G14_PSI05_V001_W0002,L_G14_PSI05_V001,2,20,0.4,2.0,0.843274,0.2,1.2,0.711111,0.8,1.163813,0.35,1.35,-0.4,0
L_G14_PSI05_V001_W0003,L_G14_PSI05_V001,3,20,0.2,2.0,0.632456,0.1,1.0,0.4,0.666667,1.056967,0.3,1.3,-0.466667,0
L_G14_PSI05_V001_W0004,L_G14_PSI05_V001,4,20,1.0,4.0,1.33536,0.5,2.2,1.783187,0.566667,0.907744,0.266667,1.233333,0.433333,1
L_G14_PSI05_V001_W0005,L_G14_PSI05_V001,5,20,6.7,12.0,3.369144,0.9,3.9,11.351133,0.533333,0.93703,0.266667,1.466667,6.166667,1
L_G14_PSI05_V001_W0006,L_G14_PSI05_V001,6,20,14.4,20.0,3.69742,1.0,4.4,13.670912,2.633333,1.778987,0.5,2.366667,11.766667,1
L_G14_PSI05_V001_W0007,L_G14_PSI05_V001,7,20,13.1,16.0,2.952568,1.0,4.5,8.717659,7.366667,2.800641,0.8,3.5,5.733333,1
L_G14_PSI05_V001_W0008,L_G14_PSI05_V001,8,20,14.3,27.0,7.367934,1.0,4.6,54.286455,11.4,3.339711,0.966667,4.266667,2.9,1
L_G14_PSI05_V001_W0009,L_G14_PSI05_V001,9,20,11.3,14.0,1.984621,1.0,4.3,3.93872,13.933333,4.672641,1.0,4.5,-2.633333,1
L_G14_PSI05_V001_W0010,L_G14_PSI05_V001,10,20,15.0,22.0,4.734018,1.0,3.9,22.410924,12.9,4.101708,1.0,4.466667,2.1,1
L_G14_PSI05_V001_W0011,L_G14_PSI05_V001,11,20,11.0,17.0,3.980169,1.0,5.1,15.841743,13.533333,4.695524,1.0,4.266667,-2.533333,1
L_G14_PSI05_V001_W0012,L_G14_PSI05_V001,12,20,12.8,21.0,3.783702,1.0,6.0,14.316403,12.433333,3.566269,1.0,4.433333,0.366667,1
L_G14_PSI05_V001_W0013,L_G14_PSI05_V001,13,20,11.5,19.0,2.939697,1.0,7.2,8.641816,12.933333,4.165963,1.0,5.0,-1.433333,1
